"","state","trump_votes","total_votes","trump_pct"
"1","Alabama",1318250,2123367,0.62083003079543
"2","Alaska",163387,323112,0.505666765703533
"3","Arizona",1252401,2628756,0.476423448962171
"4","Arkansas",684872,1129896,0.606137202007972
"5","California",4483810,14181595,0.316171065384394
"6","Colorado",1202484,2780220,0.43251397371431
"7","Connecticut",NA,1649976,NA
"8","Delaware",185127,442997,0.417896735192338
"9","District of Columbia",12723,311268,0.0408747445930838
"10","Florida",4617886,9420039,0.490219414165907
"11","Georgia",2089104,4114711,0.507715851732965
"12","Hawaii",128847,428937,0.300386770085117
"13","Idaho",409055,690433,0.592461542249574
"14","Illinois",2146015,5558707,0.386063701504684
"15","Indiana",1557286,2734958,0.569400334484113
"16","Iowa",800983,1566031,0.51147327224046
"17","Kansas",671018,1184403,0.566545339719673
"18","Kentucky",1202971,1924149,0.625196385519001
"19","Louisiana",1178638,2029032,0.580886846535688
"20","Maine",335593,748997,0.448056534271833
"21","Maryland",943169,2781446,0.339093047285477
"22","Massachusetts",1090893,3274555,0.333142365909261
"23","Michigan",2279543,4799284,0.474975642199961
"24","Minnesota",1322951,2944813,0.449247880935054
"25","Mississippi",700714,1209357,0.579410380888356
"26","Missouri",1594511,2807381,0.567971002154677
"27","Montana",279240,497147,0.561684974464293
"28","Nebraska",495961,844187,0.587501347450269
"29","Nevada",512058,1125385,0.455006953176024
"30","New Hampshire",345790,744296,0.464586669819534
"31","New Jersey",1601933,3874046,0.413503866500295
"32","New Mexico",319667,798319,0.400425143332427
"33","New York",2814589,7707363,0.36518183975505
"34","North Carolina",2362631,4741564,0.498280946961804
"35","North Dakota",216794,344360,0.629556278313393
"36","Ohio",2841005,5496487,0.516876506757862
"37","Oklahoma",949136,1452992,0.653228648196274
"38","Oregon",782403,2001336,0.390940351844968
"39","Pennsylvania",2970733,6115402,0.48577885803746
"40","Rhode Island",180543,468472,0.385386960159839
"41","South Carolina",1155389,2103027,0.549393326856954
"42","South Dakota",227721,370093,0.615307503789588
"43","Tennessee",1522925,2508027,0.607220336942146
"44","Texas",4685047,8969226,0.522346855793354
"45","Utah",515231,1131430,0.455380359368233
"46","Vermont",95369,315077,0.302684740555483
"47","Virginia",NA,3984631,NA
"48","Washington",1221747,3209214,0.380699760128181
"49","West Virginia",489371,713051,0.686305748116194
"50","Wisconsin",1404440,2975753,0.471961214522845
"51","Wyoming",174419,255849,0.681726330765412
